City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,san bernardo del viento,9.3533,-75.9524,30.22,71,29,3.69,CO,1726347210
83,thompson,55.7435,-97.8558,16.09,88,75,6.17,CA,1726347212
84,meulaboh,4.1363,96.1285,24.44,87,100,1.52,ID,1726347213
85,college,64.8569,-147.8028,12.47,71,75,4.12,US,1726347214
86,hastings,50.8552,0.5729,12.66,32,79,3.94,GB,1726347215
87,ilulissat,69.2167,-51.1,0.01,93,100,2.06,GL,1726347217
88,lingyuan,41.24,119.4011,9.02,57,100,2.14,CN,1726347218
89,qaqortoq,60.7167,-46.0333,5.01,91,100,1.32,GL,1726347219
90,crane,31.3974,-102.3501,33.15,28,100,9.03,US,1726347222
91,lompoc,34.6391,-120.4579,21.19,79,100,4.63,US,1726347223
92,peruibe,-24.32,-46.9983,21.45,89,46,1.27,BR,1726347225
93,zouerate,22.7187,-12.4521,36.49,21,0,0.68,MR,1726347226
94,sungai penuh,-2.0833,101.3833,18.28,97,98,0.69,ID,1726347143
95,machali,-34.1833,-70.6667,22.6,27,0,6.17,CL,1726347228
96,ushuaia,-54.8,-68.3,5.81,65,75,5.66,AR,1726346881
97,kill devil hills,36.0307,-75.676,24.99,87,0,7.72,US,1726347078
98,punta arenas,-53.15,-70.9167,9.06,61,75,5.14,CL,1726347233
99,puerto ayora,-0.7393,-90.3518,22.53,90,75,3.13,EC,1726347234
100,gaiman,-43.2897,-65.4929,16.11,16,12,5.89,AR,1726347236
101,udachny,66.4167,112.4,0.49,89,100,5.09,RU,1726347237
102,susuman,62.7833,148.1667,3.38,99,100,3.5,RU,1726347238
103,berezovyy,51.6667,135.7,5.52,73,0,2.04,RU,1726347240
104,huittinen,61.1833,22.7,11.24,95,100,3.9,FI,1726347241
105,wailua homesteads,22.0669,-159.378,28.44,69,0,6.69,US,1726347243
106,tshikapa,-6.4167,20.8,25.87,47,5,0.53,CD,1726347244
107,dhidhdhoo,6.8833,73.1,27.87,79,20,4.91,MV,1726347245
108,dakhla,23.6848,-15.958,21.01,83,0,9.26,EH,1726347246
